,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nikolskoye,0,RU,1553329750,64,59.7,30.79,37.99,8.95
1,Alyangula,80,AU,1553328000,70,-13.85,136.42,87.8,10.29
2,Grand Gaube,75,MU,1553329740,70,-20.01,57.66,87.8,11.41
3,Huilong,56,CN,1553329772,78,28.89,110.18,51.16,4.38
4,Abha,20,SA,1553328000,40,18.22,42.5,75.2,9.17
5,Crixas,88,BR,1553329772,95,-14.55,-49.97,71.41,4.16
6,Isla Mujeres,20,MX,1553329384,100,21.23,-86.73,59.0,6.4
7,Busselton,0,AU,1553329554,23,-33.64,115.35,72.0,18.25
8,Yelizovo,90,RU,1553328000,92,53.19,158.38,30.2,15.66
9,Mar del Plata,24,AR,1553329773,67,-46.43,-67.52,56.65,19.93
10,Arraial do Cabo,92,BR,1553329774,89,-22.97,-42.02,77.89,5.95
11,Rikitea,88,PF,1553329774,99,-23.12,-134.97,78.88,20.49
12,Kruisfontein,0,ZA,1553329774,80,-34.0,24.73,72.49,7.63
13,Mattru,76,SL,1553329774,75,7.62,-11.83,80.05,4.38
14,New Norfolk,75,AU,1553329515,68,-42.78,147.06,68.0,4.7
15,Vengerovo,44,RU,1553329775,100,55.68,76.74,35.23,4.61
16,Codrington,90,AU,1553329638,65,-28.95,153.24,80.6,17.22
17,Barrow,0,AR,1553329776,87,-38.31,-60.23,57.73,13.67
18,Les Cayes,44,HT,1553329776,100,18.19,-73.75,75.55,7.29
19,Sur,36,OM,1553329777,74,22.57,59.53,79.96,11.21
20,Jamestown,100,AU,1553329762,65,-33.21,138.6,69.43,9.98
21,Ushuaia,90,AR,1553328000,93,-54.81,-68.31,46.4,5.82
22,Esperance,75,TT,1553329506,83,10.24,-61.45,78.01,6.93
23,Hilo,90,US,1553329754,78,19.71,-155.08,73.99,4.7
24,Great Falls,1,US,1553328999,86,47.5,-111.29,41.0,8.05
25,Mataura,44,NZ,1553329206,79,-46.19,168.86,64.0,3.27
26,Prince Rupert,90,CA,1553328000,81,54.32,-130.32,48.2,17.22
27,Namibe,90,AO,1553324400,94,-15.19,12.15,71.6,5.82
28,Nacala,75,MZ,1553328000,94,-14.56,40.69,78.8,5.82
29,Ancud,75,CL,1553324400,93,-41.87,-73.83,53.6,5.82
30,Albany,90,US,1553329453,86,42.65,-73.75,30.0,12.75
31,Eyl,64,SO,1553329781,87,7.98,49.82,82.21,11.99
32,Ponta Delgada,75,PT,1553329193,82,37.73,-25.67,60.8,12.75
33,Hermanus,36,ZA,1553328955,74,-34.42,19.24,77.0,11.01
34,Dwarka,20,IN,1553326200,28,28.58,77.04,84.2,9.17
35,Belyy Yar,0,RU,1553326200,7,53.6,91.39,55.4,4.47
36,Rokytne,0,UA,1553329782,68,51.27,27.23,41.26,10.42
37,Grindavik,75,IS,1553328997,100,63.84,-22.43,32.0,9.17
38,Antofagasta,0,CL,1553324400,77,-23.65,-70.4,60.8,2.24
39,Flin Flon,0,CA,1553329783,77,54.77,-101.88,25.51,3.83
40,Talnakh,0,RU,1553329784,77,69.49,88.39,6.79,4.94
41,Port Alfred,44,ZA,1553329573,84,-33.59,26.89,75.99,5.01
42,Butaritari,76,KI,1553329784,100,3.07,172.79,83.47,14.23
43,Souillac,0,FR,1553329629,70,45.6,-0.6,50.0,2.24
44,Ikwiriri,0,TZ,1553329785,50,-7.96,38.99,93.91,4.27
45,Vaini,0,IN,1553328000,17,15.34,74.49,95.0,4.7
46,Airai,32,TL,1553329785,63,-8.93,125.41,80.41,1.7
47,Nishihara,75,JP,1553329736,70,35.74,139.53,48.99,3.36
48,Cape Town,0,ZA,1553329370,60,-33.93,18.42,77.0,6.93
49,Mabaruma,88,GY,1553329278,89,8.2,-59.78,77.08,6.4
50,Suluq,80,LY,1553329787,63,31.67,20.25,63.94,5.17
51,Narsaq,0,GL,1553327400,56,60.91,-46.05,15.8,16.11
52,Yenagoa,88,NG,1553329787,89,4.92,6.26,81.13,9.08
53,Georgetown,20,GY,1553328000,94,6.8,-58.16,71.6,2.24
54,Cherskiy,0,RU,1553329788,30,68.75,161.3,-6.9,2.71
55,Punta Arenas,75,CL,1553329390,87,-53.16,-70.91,48.2,10.29
56,Atuona,76,PF,1553329789,98,-9.8,-139.03,82.57,15.68
57,Manokwari,44,ID,1553329377,100,-0.87,134.08,78.97,8.86
58,Dong Hoi,68,VN,1553329790,99,17.48,106.6,77.98,6.17
59,Longyearbyen,75,NO,1553327400,85,78.22,15.63,21.2,6.93
60,Hamilton,40,BM,1553329519,63,32.3,-64.78,66.2,19.46
61,Magnor,0,SE,1553329527,70,59.95,12.2,44.6,10.29
62,Avarua,36,CK,1553328000,88,-21.21,-159.78,80.6,3.36
63,Ilulissat,20,GL,1553327400,52,69.22,-51.1,-9.41,14.99
64,Chulym,68,RU,1553329792,100,55.09,80.97,33.07,4.61
65,Port Blair,20,IN,1553328000,55,11.67,92.75,89.6,10.29
66,Ardesen,75,TR,1553326200,76,41.19,40.99,48.2,3.36
67,Huarmey,56,PE,1553329214,87,-10.07,-78.15,63.4,3.15
68,Upernavik,24,GL,1553329793,100,72.79,-56.15,-11.31,2.59
69,Leningradskiy,64,RU,1553329793,70,69.38,178.42,-10.05,14.0
70,Bafq,0,IR,1553329794,26,31.6,55.4,69.34,4.05
71,Takapau,0,NZ,1553329696,82,-40.02,176.35,59.0,7.74
72,Ocos,5,GT,1553328240,83,14.51,-92.19,73.4,5.39
73,Kamyshlov,0,RU,1553329795,98,56.85,62.71,38.29,6.17
74,Kaoma,0,ZM,1553329795,52,-14.8,24.8,82.75,16.8
75,Marzuq,0,YE,1553329356,16,14.4,46.47,87.61,5.17
76,Touros,40,BR,1553328000,100,-5.2,-35.46,77.0,4.7
77,Hofn,0,IS,1553329796,100,64.25,-15.21,35.68,19.37
78,Plettenberg Bay,0,ZA,1553329796,90,-34.05,23.37,70.6,7.18
79,Lavrentiya,92,RU,1553329797,99,65.58,-170.99,14.26,10.42
80,Colares,0,PT,1553329760,41,38.8,-9.45,57.99,6.93
81,Hervey Bay,0,AU,1553328909,69,-25.3,152.85,81.0,10.29
82,Bar Harbor,90,US,1553329784,100,44.39,-68.2,36.0,8.05
83,Carinhanha,92,BR,1553329798,98,-14.3,-43.77,68.89,3.49
84,Hobart,75,AU,1553329515,68,-42.88,147.33,68.0,4.7
85,Davila,20,PH,1553324400,66,18.47,120.58,86.0,14.99
86,Pevek,0,RU,1553329799,31,69.7,170.27,-21.3,1.7
87,Te Anau,20,NZ,1553329800,82,-45.41,167.72,53.95,2.59
88,Mnogovershinnyy,0,RU,1553329800,51,53.94,139.92,4.09,5.06
89,Cabo San Lucas,0,MX,1553329546,63,22.89,-109.91,62.01,7.74
90,Saldanha,0,PT,1553329800,43,41.42,-6.55,51.61,4.16
91,Sisimiut,20,GL,1553329802,49,66.94,-53.67,-30.93,2.15
92,Miri,48,NG,1553329808,38,10.31,9.75,92.38,7.63
93,Sherman,1,US,1553329587,54,33.64,-96.61,62.01,9.17
94,Bethel,90,US,1553327760,84,60.79,-161.76,37.4,4.7
95,Yumen,0,CN,1553329814,40,40.29,97.04,46.48,15.46
96,Sanghar,0,PK,1553328000,36,28.18,68.31,91.4,4.72
97,Erenhot,0,CN,1553329818,38,43.65,111.97,44.05,18.14
98,Kasongo-Lunda,88,CD,1553329820,90,-6.48,16.82,73.84,3.15
99,Ukiah,90,US,1553329790,93,39.15,-123.21,53.01,2.37
100,Nanortalik,0,GL,1553329821,100,60.14,-45.24,21.19,33.58
101,Vao,56,EE,1553329821,74,59.1,26.19,36.76,15.12
102,Susangerd,75,IR,1553328000,26,31.56,48.19,78.8,2.24
103,Bay Roberts,90,CA,1553329817,100,47.58,-53.28,41.0,28.86
104,Port Lincoln,92,AU,1553329822,92,-34.72,135.86,66.73,13.0
105,Ribeira Grande,75,PT,1553328000,87,38.52,-28.7,55.4,27.51
106,Tasiilaq,68,GL,1553327400,56,65.61,-37.64,14.0,4.7
107,Kapaa,75,US,1553329710,83,22.08,-159.32,71.6,18.34
108,Nemuro,75,JP,1553328000,68,43.32,145.57,28.4,5.82
109,Caravelas,92,BR,1553329825,100,-17.73,-39.27,78.25,18.48
110,East London,0,ZA,1553328000,65,-33.02,27.91,78.8,14.99
111,Wahiawa,75,US,1553329528,82,21.5,-158.02,75.2,3.36
112,Luderitz,0,NA,1553329826,90,-26.65,15.16,65.2,7.4
113,Geraldton,5,CA,1553328000,66,49.72,-86.95,12.2,2.24
114,Fayaoue,36,NC,1553329826,99,-20.65,166.53,81.58,16.91
115,Qaanaaq,8,GL,1553329827,39,77.48,-69.36,-26.7,7.07
116,Petropavlovsk-Kamchatskiy,75,RU,1553326200,88,53.05,158.65,32.0,15.66
117,College,20,US,1553329540,51,64.86,-147.8,41.0,8.05
118,Bredasdorp,0,ZA,1553328135,69,-34.53,20.04,73.4,12.75
119,Half Moon Bay,90,US,1553329826,100,37.46,-122.43,55.99,9.17
120,Mandera,0,ET,1553328005,15,3.94,41.86,90.0,5.99
121,Puerto del Rosario,20,ES,1553328000,67,28.5,-13.86,62.6,9.17
122,Bushehr,75,IR,1553328000,34,28.97,50.84,82.4,6.93
123,Faya,20,SA,1553328000,40,18.39,42.45,75.2,9.17
124,Erie,40,US,1553329819,54,42.13,-80.09,32.0,14.99
125,Guerrero Negro,0,MX,1553329831,100,27.97,-114.04,53.5,8.75
126,Bambous Virieux,75,MU,1553329740,70,-20.34,57.76,87.8,11.41
127,Grodkow,0,PL,1553329824,87,50.7,17.38,63.0,8.05
128,Hefei,0,CN,1553328000,38,31.82,117.22,59.0,4.47
129,Faanui,88,PF,1553329832,97,-16.48,-151.75,85.45,12.44
130,Lorengau,88,PG,1553329833,98,-2.02,147.27,82.84,12.66
131,Bulgan,0,MN,1553329833,24,48.81,103.53,43.96,11.54
132,Coihaique,56,CL,1553328000,62,-45.58,-72.07,51.8,6.93
133,Puerto Ayora,8,EC,1553329834,99,-0.74,-90.35,75.01,4.83
134,Dikson,68,RU,1553329834,99,73.51,80.55,7.33,23.96
135,Oksfjord,0,NO,1553329830,69,70.24,22.35,37.99,16.11
136,Sai Buri,20,TH,1553328000,59,6.7,101.62,89.6,10.29
137,Aklavik,75,CA,1553328000,61,68.22,-135.01,15.8,17.22
138,Tsiroanomandidy,20,MG,1553329835,70,-18.77,46.05,82.03,4.94
139,Cidreira,64,BR,1553329836,100,-30.17,-50.22,60.16,3.49
140,Katsuura,75,JP,1553329419,100,33.93,134.5,48.0,14.99
141,Ponta do Sol,92,BR,1553329837,94,-20.63,-46.0,62.95,6.62
142,Avera,1,US,1553329825,49,33.19,-82.53,53.6,5.82
143,Severo-Kurilsk,88,RU,1553329837,92,50.68,156.12,30.91,22.73
144,Elko,1,US,1553329176,74,40.83,-115.76,37.99,4.7
145,Vestmannaeyjar,92,IS,1553329838,100,63.44,-20.27,35.77,14.67
146,Shirokiy,0,RU,1553329614,52,53.87,39.17,43.0,4.0
147,Muros,0,ES,1553329789,80,42.77,-9.06,57.99,5.39
148,Tiksi,48,RU,1553329839,71,71.64,128.87,10.39,3.04
149,Areosa,0,PT,1553329670,54,41.72,-8.86,64.0,12.75
150,Casa Nova,92,BR,1553329840,98,-11.77,-39.23,71.41,4.38
151,Hithadhoo,0,MV,1553329841,100,-0.6,73.08,86.35,1.7
152,Bluff,56,AU,1553329841,59,-23.58,149.07,82.75,9.19
153,Hami,0,CN,1553329841,39,42.84,93.51,57.73,4.61
154,Abong Mbang,20,CM,1553329842,78,3.98,13.18,81.49,2.93
155,Saint Anthony,90,US,1553329544,93,43.97,-111.68,39.2,3.04
156,Lebu,20,ET,1553328000,33,8.96,38.73,75.2,9.17
157,Bosaso,0,SO,1553329771,84,11.28,49.18,83.47,2.15
158,Kavieng,88,PG,1553329843,99,-2.57,150.8,84.37,11.43
159,Merauke,20,ID,1553329843,88,-8.49,140.4,83.47,7.74
160,Kishtwar,88,IN,1553329843,52,33.31,75.77,40.27,0.92
161,Lata,0,IN,1553329844,45,30.78,78.62,59.98,1.92
162,Iqaluit,90,CA,1553329365,76,63.75,-68.52,-7.01,14.99
163,Bereda,0,ES,1553329805,93,43.27,-7.54,53.01,4.7
164,Hirara,75,JP,1553324400,72,24.8,125.28,66.2,13.87
165,Esmeraldas,40,BR,1553328000,82,-19.76,-44.31,64.4,5.82
166,Ler,75,NO,1553329815,61,63.2,10.3,41.0,17.22
167,Barreirinha,92,BR,1553329846,90,-2.8,-57.07,77.8,3.15
168,Tahoua,0,NE,1553328000,12,14.89,5.26,84.2,11.41
169,Onega,64,RU,1553329846,90,63.91,38.09,31.18,17.02
170,Yabrud,40,SY,1553328988,51,33.97,36.66,60.8,8.05
171,Pisco,0,PE,1553328000,82,-13.71,-76.2,68.0,5.82
172,Husavik,0,CA,1553329806,84,50.56,-96.99,28.99,5.01
173,Winslow,40,GB,1553329837,81,51.94,-0.88,51.01,9.17
174,Tuatapere,20,NZ,1553329808,80,-46.13,167.69,64.0,2.71
175,Mahebourg,75,MU,1553329740,70,-20.41,57.7,87.8,11.41
176,Mahanoro,92,MG,1553329323,88,-19.9,48.8,78.88,4.16
177,Itigi,0,TZ,1553329849,43,-5.7,34.5,85.45,14.67
178,Komsomolskiy,48,RU,1553329849,96,67.55,63.78,21.55,10.09
179,Torbay,90,CA,1553329839,100,47.66,-52.73,41.0,28.86
180,Praia,75,BR,1553324400,72,-20.25,-43.81,66.2,8.05
181,Yellowknife,90,CA,1553329531,66,62.45,-114.38,14.0,14.99
182,Shieli,12,KZ,1553329850,77,44.18,66.74,62.05,4.61
183,Penzance,40,GB,1553329807,87,50.12,-5.53,48.99,18.34
184,Sarangani,68,PH,1553329851,98,5.4,125.46,81.22,7.63
185,Vostok,68,RU,1553329852,57,46.45,135.83,18.13,4.05
186,Hambantota,40,LK,1553328600,63,6.12,81.12,93.2,8.05
187,Sligo,75,IE,1553329808,75,54.27,-8.48,42.8,8.05
188,Banjar,68,ID,1553329853,90,-7.37,108.54,77.98,3.15
189,Dharchula,0,IN,1553329853,71,29.85,80.53,48.19,0.36
190,Lompoc,1,US,1553329840,93,34.64,-120.46,51.8,5.39
191,Nyurba,92,RU,1553329854,71,63.29,118.35,23.89,9.19
192,Medea,75,DZ,1553328000,93,36.27,2.77,53.6,3.36
193,Ayorou,64,NE,1553329854,12,14.73,0.92,88.15,6.96
194,Kavaratti,0,IN,1553329855,100,10.57,72.64,82.93,8.75
195,Millet,1,CA,1553329855,100,53.09,-113.47,30.99,2.93
196,Bukachacha,80,RU,1553329856,44,52.99,116.91,31.63,9.19
197,Ulaanbaatar,0,MN,1553329800,13,47.92,106.92,42.8,15.66
198,Port Macquarie,44,AU,1553329805,83,-31.43,152.91,78.01,6.93
199,Fare,56,PF,1553329857,95,-16.7,-151.02,84.91,11.32
200,Bend,40,US,1553329856,86,44.06,-121.32,41.0,6.93
201,Seoul,75,KR,1553327400,39,37.57,126.98,48.2,2.24
202,Thompson,5,CA,1553328000,74,55.74,-97.86,30.2,4.7
203,Jumla,0,NP,1553329858,51,29.28,82.18,44.77,1.59
204,Fukue,20,JP,1553329611,46,35.03,136.69,51.01,23.04
205,Saskylakh,32,RU,1553329859,75,71.97,114.09,-7.17,12.21
206,Lasa,0,CY,1553329031,56,34.92,32.53,68.0,6.93
207,Dillon,90,US,1553329824,80,45.22,-112.64,36.0,8.05
208,Liverpool,20,GB,1553329632,65,53.41,-2.98,48.0,6.93
209,Laguna,0,MX,1553329288,83,27.52,-110.01,52.78,1.36
210,Mayya,0,RU,1553328000,57,61.74,130.28,17.6,4.47
211,Adrasmon,90,TJ,1553328000,58,40.65,69.99,57.2,20.13
212,Haines Junction,68,CA,1553329861,80,60.75,-137.51,25.06,2.04
213,Port Elizabeth,75,US,1553329860,55,39.31,-74.98,37.4,18.34
214,Hasaki,75,JP,1553329787,86,35.73,140.83,41.0,4.7
215,Ponnani,20,IN,1553328000,41,10.77,75.93,95.0,9.17
216,Dwarahat,0,IN,1553329862,30,29.78,79.43,70.06,2.37
217,Kodiak,1,US,1553329854,56,39.95,-94.76,46.99,9.17
218,Burgeo,92,CA,1553329863,85,47.61,-57.61,34.96,13.11
219,Vila Velha,40,BR,1553329162,88,-3.71,-38.6,79.0,3.36
220,Alofi,0,NU,1553328000,83,-19.06,-169.92,75.2,5.82
221,Bandipur,20,IN,1553329864,53,11.67,76.63,84.64,1.7
222,Klaksvik,64,FO,1553329200,69,62.23,-6.59,35.6,41.38
223,Swan River,0,CA,1553329865,87,52.11,-101.27,30.01,7.18
224,Chokurdakh,8,RU,1553329865,45,70.62,147.9,-15.36,5.17
225,Moree,24,AU,1553329834,35,-29.46,149.84,87.8,9.17
226,Alice Springs,0,AU,1553326200,13,-23.7,133.88,100.4,11.41
227,Bakel,80,SN,1553329866,43,14.9,-12.46,76.09,11.77
228,Zhigansk,76,RU,1553329867,69,66.77,123.37,13.36,2.71
229,Along,92,IN,1553329867,98,28.17,94.8,56.02,1.59
230,Kaitangata,88,NZ,1553329867,95,-46.28,169.85,56.38,5.95
231,Meulaboh,36,ID,1553329773,100,4.14,96.13,83.92,8.19
232,Rafai,56,CF,1553329868,77,4.95,23.92,83.74,4.38
233,Nichinan,40,JP,1553329388,29,31.65,131.31,60.8,18.34
234,Saint-Augustin,0,FR,1553329805,62,44.83,-0.61,59.0,3.83
235,Acapulco,5,MX,1553328660,88,16.86,-99.88,73.4,2.24
236,Nyimba,44,ZM,1553329869,51,-14.56,30.81,86.71,10.42
237,Carnarvon,0,ZA,1553329869,32,-30.97,22.13,78.79,9.19
238,Yorosso,68,ML,1553329870,21,12.35,-4.78,85.36,6.96
239,Teknaf,0,BD,1553329360,54,20.86,92.31,89.86,5.73
240,Necochea,0,AR,1553329565,70,-38.55,-58.74,59.0,3.0
241,Magistralnyy,64,RU,1553329382,55,56.17,107.45,29.56,8.41
242,Gombe,24,NG,1553329706,40,10.28,11.17,94.63,11.88
243,Salalah,40,OM,1553327400,66,17.01,54.1,84.2,13.87
244,Yeppoon,0,AU,1553326200,51,-23.13,150.74,86.0,8.05
245,Mayumba,92,GA,1553329871,99,-3.44,10.65,82.12,8.52
246,Isangel,76,VU,1553329872,100,-19.55,169.27,80.23,17.25
247,Sawakin,0,SD,1553328000,65,19.1,37.33,77.0,4.7
248,Kattivakkam,20,IN,1553328000,47,13.22,80.32,96.8,9.17
249,Lagoa,0,PT,1553329831,62,37.14,-8.45,59.0,13.87
250,Mildura,92,AU,1553329810,24,-34.18,142.16,89.6,9.17
251,Saint George,20,GR,1553329410,62,39.45,22.34,57.2,3.6
252,Mapiri,92,BO,1553329874,97,-15.31,-68.22,54.13,2.71
253,Fairbanks,20,US,1553329540,51,64.84,-147.72,41.0,8.05
254,Omboue,88,GA,1553329875,100,-1.57,9.26,82.03,8.41
255,Umm Lajj,0,SA,1553329875,47,25.02,37.27,82.03,3.94
256,Ixtapa,5,MX,1553329831,100,20.71,-105.21,71.01,4.7
257,Sinop,75,TR,1553327400,75,42.03,35.15,46.4,19.46
258,Port Hawkesbury,90,CA,1553329860,86,45.62,-61.36,37.99,16.11
259,Solnechnyy,0,RU,1553329876,71,50.72,136.64,12.55,2.82
260,Iranshahr,40,IR,1553328000,38,27.21,60.69,77.0,9.17
261,Antalaha,56,MG,1553329877,84,-14.9,50.28,85.36,9.98
262,Los Llanos de Aridane,20,ES,1553329562,59,28.66,-17.92,64.4,16.11
263,Castro,75,CL,1553328000,87,-42.48,-73.76,51.8,4.7
264,Chuy,0,UY,1553329878,89,-33.69,-53.46,56.83,3.71
265,Cockburn Town,8,TC,1553329195,100,21.46,-71.14,77.53,8.75
266,Peleduy,80,RU,1553329879,71,59.63,112.75,25.78,7.96
267,Atar,0,MR,1553329879,53,20.52,-13.05,67.9,5.73
268,Guadalupe y Calvo,0,MX,1553329880,74,26.09,-106.96,33.16,0.69
269,Kloulklubed,75,PW,1553327640,74,7.04,134.26,82.4,8.05
270,Sal Rei,75,CV,1553328000,64,16.18,-22.92,69.8,9.17
271,Payakumbuh,36,ID,1553329880,64,-0.23,100.63,85.81,3.6
272,Kuzhener,76,RU,1553329881,100,56.81,48.92,32.26,6.17
273,Saint-Francois,0,FR,1553329022,81,46.42,3.91,46.99,2.24
274,Nokaneng,0,BW,1553329881,32,-19.66,22.19,89.86,18.03
275,Saint-Philippe,90,CA,1553329756,91,45.36,-73.48,33.01,21.92
276,Tazovskiy,64,RU,1553329882,92,67.47,78.7,22.9,9.42
277,Bikaner,12,IN,1553329882,32,28.02,73.32,88.78,4.38
278,Road Town,1,VG,1553329324,83,18.42,-64.62,77.0,8.05
